Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
;;;;;;;;;;?;;;;;231;;223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;232;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;233;;225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;234;;226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;235;;227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;236;;228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;Sich künstlich aufplustern (hier sehr wahrscheinlich);;;;;237;;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;238;;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;239;;231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;240;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;241;;233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;242;;234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;243;;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;244;;236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;245;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;246;;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;247;;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;248;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;249;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;Leichtsinn (sehr gut wahrscheinlich);;;;;250;;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;251;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;252;;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;253;;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;254;;246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;255;;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;256;;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;257;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;258;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;259;;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;260;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;261;;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;262;;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;263;;255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;264;;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;265;;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;266;;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;267;;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;268;;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;269;;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;270;;262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;271;;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;272;;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;273;;265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;274;;266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;275;;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;276;;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;277;;269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;278;;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;279;;271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;280;;272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;281;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;282;;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;vielleicht: andere abneigen als Sport betreiben;;;;;283;;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;284;;276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;285;;277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;286;;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;287;;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;288;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;289;;281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;290;;282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;291;;283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;292;;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;293;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;294;;286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;295;;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;296;;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;297;;289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;298;;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;299;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;300;;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;301;;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;302;;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;303;;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;304;;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;305;;297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;306;;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;307;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;308;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;309;;301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;310;;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;311;;303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;312;;304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;313;;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;314;;306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;315;;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;316;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;317;;309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;vielleicht: Zuneigung als Sport betreiben, aber nicht verführen, d.h. man verliert dabei;;;;;318;;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;319;;311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;320;;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;321;;313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;322;;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;323;;315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;324;;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;325;;317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;326;;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;327;;319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;328;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;329;;321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;330;;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;331;;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;332;;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;333;;325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;334;;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;335;;327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;336;;328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;mhh… irgendetwas / irgendjemanden nutzen was ergibt, dass das eigene Helfen nicht stattfindet;;;;;337;;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;338;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;339;;331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;340;;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;341;;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;342;;334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;343;;335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;344;;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;345;;337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;346;;338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;347;;339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;348;;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;349;;341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;350;;342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;351;;343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;352;;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;353;;345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;354;;346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;vielleicht zu glauben, dass man der größte Fan sei?;;;;;355;;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;356;;348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;357;;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;358;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;359;;351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
